time,ankle_angle_r,ankle_angle_l
7.3333333,-18.15869361,-16.34820315
7.35,-17.98122101,-15.09298011
7.3666667,-17.2003342,-13.6591007
7.3833333,-15.59665751,-12.47970063
7.4,-12.36352062,-10.99895933
7.4166667,-8.68432076,-9.6550485
7.4333333,-7.54208825,-8.50146049
7.45,-1.64721041,-7.75087675
7.4666667,-0.0691803,-7.61485644
7.4833333,-0.29085127,-6.91163294
7.5,1.14284336,-5.52797084
7.5166667,3.7870904,-3.55592134
7.5333333,7.60775471,-1.0752104
7.55,11.29631581,1.2130905
7.5666667,13.90676238,2.89814438
7.5833333,15.39728227,3.67303682
7.6,16.10831637,3.86776132
7.6166667,15.76008391,4.2974687
7.6333333,13.59700083,5.41110859
7.65,8.49233389,7.00042396
7.6666667,0.77660655,8.03131545
7.6833333,-4.31327969,8.54175786
7.7,-8.78391954,8.61585726
7.7166667,-13.35695912,8.44201286
7.7333333,-18.25480507,8.09230527
7.75,-23.19291482,7.54642557
7.7666667,-27.67159083,6.91997456
7.7833333,-31.24711746,5.66612235
7.8,-32.04189707,3.07921678
7.8166667,-32.40032362,-0.29087046
7.8333333,-32.07250249,-4.74718794
7.85,-31.0264979,-8.86484297
7.8666667,-29.29946717,-11.611166
7.8833333,-26.86385177,-12.82711713
7.9,-24.26588273,-12.13149901
7.9166667,-21.99006706,-9.75291591
7.9333333,-20.74789589,-6.48706894
7.95,-20.25308665,-4.03488778
7.9666667,-20.46951512,-3.21171573
7.9833333,-21.27964942,-3.11761675
8.0,-22.33517011,-2.60035086
8.0166667,-23.51433463,-0.3891304
8.0333333,-24.19702192,3.59636401
8.05,-24.91332365,7.91218112
8.0666667,-27.70396643,10.32189099
8.0833333,-32.97022259,9.83215218
8.1,-38.21716644,6.75002144
8.1166667,-39.99551509,1.45938053
8.1333333,-38.19768965,-3.97667725
8.15,-33.38195124,-4.48131997
8.1666667,-26.63930213,-2.49876119
8.1833333,-19.40268549,-1.11380564
8.2,-13.43669283,-0.75412576
8.2166667,-10.3274598,-1.81729789
8.2333333,-8.96361391,-4.53556715
8.25,-8.64506257,-8.14530711
8.2666667,-8.53154594,-7.96455119
8.2833333,-8.85704187,-5.54568106
8.3,-9.44128087,-6.03857036
8.3166667,-9.94197662,-8.04202748
8.3333333,-10.24052955,-10.82346937
8.35,-10.25820066,-13.55962244
8.3666667,-10.11713191,-14.95719325
8.3833333,-10.370273,-15.64478471
8.4,-10.29003465,-16.08235698
8.4166667,-10.70164197,-16.5207522
8.4333333,-11.48941281,-16.91623558
8.45,-12.64522425,-17.23294358
8.4666667,-14.06623296,-17.45360665
8.4833333,-15.30298236,-17.65166537
8.5,-16.81524482,-17.81145285
